date,revenue,google_search_l,paid_facebook_l,paid_instagram_l,organic_search_l,google_search_s,paid_facebook_s,paid_instagram_s
2021-06-04,253123.40372904675,459,389,91,4,20399.000000000004,32556.914971000002,8446.635036
2021-06-05,144357.92102207147,362,395,111,0,16492.91,31559.855608,11310.064404
2021-06-06,44932.496866317975,449,398,94,6,19912.729999999996,28264.075962000003,13125.714047000001
2021-06-07,226377.0583966105,606,377,110,9,29748.260000000002,28277.713024999997,12143.796972999999
2021-06-08,257084.9362960331,654,371,86,9,28293.329999999994,28792.616098000002,10409.233903
2021-06-09,307752.18377188244,614,388,114,10,26548.840000000004,29979.396642999996,7307.453357
2021-06-10,281252.74044991366,564,369,141,5,24416.71,25603.897070000003,9085.392935
2021-06-11,329345.6621730638,430,381,129,7,18532.579999999998,28945.247728,8842.092272
2021-06-12,166704.67212254496,294,308,121,3,14851.350000000002,34528.135148,5176.1948520000005
2021-06-13,60492.30935115902,375,313,190,3,18711.29,32698.254507999998,6176.665493
2021-06-14,285295.0594589845,591,341,158,5,27862.120000000003,28650.010399,8511.7396
2021-06-15,250220.41719407268,534,424,143,9,25787.26,31350.943235000006,7964.616766
2021-06-16,212768.45288266515,510,399,126,12,25041.759999999995,31076.04532,7302.604678999999
2021-06-17,260851.75876369112,492,341,81,4,25413.17,30977.188401,6756.651598
2021-06-18,252071.96108377416,430,330,104,4,21115.08,30727.899457,7959.840538999999
2021-06-19,119604.51858429697,314,341,102,4,15877.599999999999,33272.446884,7365.023113999999
2021-06-20,50220.38008610433,425,350,108,5,19381.190000000002,30863.424134000008,7396.765867
2021-06-21,311691.45947129873,630,368,138,11,30589.219999999998,29474.743315,8746.786685
2021-06-22,411425.43369636365,727,399,146,26,30231.790000000008,33257.21883699999,7257.1811640000005
2021-06-23,250296.1254930543,668,402,153,29,27239.18,33868.281793,6790.81821
2021-06-24,298671.33006429794,639,411,124,20,29332.12,34844.646188,7372.153810000002
2021-06-25,333512.4360277024,601,442,121,17,25073.620000000003,35029.620759,8205.809239999999
2021-06-26,165897.18767431565,511,405,162,9,18834.54,36930.595437,9045.624564
2021-06-27,39132.450191755794,735,444,180,17,25384.099999999995,36260.288476,8917.391524
2021-06-28,403563.75228231243,610,440,177,18,30399.819999999996,39687.91185700001,10561.318145
2021-06-29,315954.9784911156,559,510,196,12,25497.84,43905.602916,13755.477083000002
2021-06-30,593221.7057225915,538,505,226,13,23866.199999999997,45268.91663399999,14128.253373000003
2021-07-01,261581.5637446207,535,502,203,14,22324.04,44856.958937,15979.381062999999
2021-07-02,235766.99924368644,432,545,190,9,19486.019999999997,45211.846717,14853.923282999998
2021-07-03,89522.04000000001,326,489,160,11,13762.29,48079.211203,12979.439845
2021-07-04,47676.67726537888,401,512,153,12,17413.49,45524.29628,14273.593718999999
2021-07-05,297434.9942703271,526,477,156,11,27468.12,41997.569961999994,16276.072796999999
2021-07-06,288913.50926876534,486,413,147,13,24806.899999999998,40136.096175000006,14589.563825
2021-07-07,302429.6301272869,471,397,88,11,22949.170000000002,41883.41463300001,10573.695364999998
2021-07-08,252502.76373348897,453,438,134,11,20740.84,41811.879350999996,11539.396939999999
2021-07-09,227642.25502634584,392,448,168,12,19555.31,42403.557908999996,13230.483731
2021-07-10,112238.78476193818,295,531,213,6,13767.23,46790.866649,15120.523353
2021-07-11,35593.68,283,523,184,6,13696.109999999997,43871.049212,16681.81079
2021-07-12,301499.75949871674,414,480,224,16,20593.670000000002,41977.757695,17378.393556
2021-07-13,311876.9487814095,455,546,220,12,20047.65,42422.140992,17366.579009
2021-07-14,296461.5343475512,437,562,217,9,19352.75,42262.337652999995,16830.464965
2021-07-15,278232.0210300992,383,500,178,11,17548.37,42055.529731999995,14406.217893000003
2021-07-16,265967.7105864642,327,438,169,15,15844.970000000005,39714.172755,13927.262555000001
2021-07-17,81800.49475570444,290,418,133,1,13716.179999999998,41257.30729900001,14390.192705000001
2021-07-18,35292.58125514375,286,448,140,9,14037.220000000001,39890.73983400001,13393.190918
2021-07-19,184706.69347925234,395,411,167,11,21733.250000000004,37352.264869,15013.330160000001
2021-07-20,285089.72252192977,459,552,187,9,21271.63,41519.955795999995,11645.070598999999
2021-07-21,276848.49642238184,483,468,219,10,22778.450000000004,42157.752622,13192.101113
